Time_Index,No_fuel,new_england_coal,new_england_naturalgas,new_england_uranium,middle_atlantic_naturalgas,middle_atlantic_uranium,middle_atlantic_coal,east_north_central_coal,east_north_central_naturalgas,east_north_central_uranium,new_england_naturalgas_ccs100,middle_atlantic_naturalgas_ccs100,east_north_central_naturalgas_ccs90,east_north_central_naturalgas_ccs100
202,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
203,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
204,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
205,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
206,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
207,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
208,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
209,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
210,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
211,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
212,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
213,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
214,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
215,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
216,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
217,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
218,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
219,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
220,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
221,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
222,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
223,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
224,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
225,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
